user_id,session_id,page,time_spent_seconds,converted
1,1,Homepage,130,0
1,1,Cart,119,0
1,2,Homepage,221,0
1,2,Cart,21,0
1,2,Thank You,20,1
1,3,Product Page,263,0
1,3,Thank You,18,1
2,4,Homepage,234,0
2,4,Checkout,147,0
2,4,Thank You,8,1
2,5,Product Page,84,0
2,5,Cart,115,0
2,5,Checkout,177,0
2,6,Homepage,54,0
2,6,Checkout,188,0
3,7,Homepage,198,0
3,7,Cart,45,0
3,7,Checkout,287,0
3,7,Thank You,155,1
3,8,Homepage,28,0
3,8,Product Page,121,0
3,8,Cart,153,0
3,8,Thank You,45,1
4,9,Cart,237,0
4,9,Checkout,191,0
5,10,Product Page,41,0
5,10,Cart,92,0
5,10,Checkout,278,0
5,10,Thank You,130,1
6,11,Homepage,33,0
6,11,Product Page,122,0
6,11,Cart,21,0
6,11,Checkout,166,0
6,11,Thank You,210,1
7,12,Product Page,113,0
7,12,Cart,260,0
7,13,Homepage,292,0
7,13,Product Page,280,0
7,13,Cart,139,0
7,13,Checkout,224,0
7,13,Thank You,209,1
8,14,Homepage,29,0
8,14,Product Page,61,0
8,14,Checkout,83,0
8,15,Homepage,200,0
8,15,Product Page,244,0
8,15,Checkout,275,0
9,16,Homepage,179,0
9,16,Cart,62,0
9,17,Homepage,139,0
9,17,Product Page,261,0
9,17,Checkout,96,0
9,17,Thank You,264,1
10,18,Homepage,87,0
10,18,Product Page,281,0
10,18,Checkout,276,0
10,18,Thank You,5,1
11,19,Homepage,162,0
11,19,Product Page,127,0
11,19,Checkout,34,0
11,19,Thank You,128,1
11,20,Homepage,40,0
11,20,Checkout,277,0
11,21,Product Page,89,0
11,21,Cart,140,0
11,21,Checkout,275,0
12,22,Homepage,196,0
12,22,Product Page,229,0
12,22,Cart,269,0
12,22,Checkout,236,0
12,22,Thank You,66,1
12,23,Homepage,15,0
12,23,Product Page,288,0
12,23,Thank You,122,1
12,24,Homepage,35,0
12,24,Cart,122,0
12,24,Thank You,39,1
13,25,Homepage,114,0
13,25,Product Page,281,0
13,25,Cart,72,0
13,25,Checkout,297,0
14,26,Homepage,54,0
14,26,Product Page,225,0
14,26,Cart,186,0
14,26,Checkout,221,0
14,26,Thank You,215,1
14,27,Homepage,60,0
14,27,Product Page,132,0
14,27,Cart,103,0
14,27,Checkout,102,0
14,27,Thank You,279,1
14,28,Homepage,132,0
14,28,Product Page,43,0
14,28,Cart,231,0
14,28,Checkout,286,0
14,28,Thank You,55,1
15,29,Homepage,90,0
15,29,Product Page,213,0
16,30,Homepage,6,0
16,30,Product Page,204,0
16,30,Cart,140,0
16,30,Checkout,237,0
16,30,Thank You,151,1
16,31,Homepage,116,0
16,31,Product Page,34,0
16,31,Cart,282,0
16,31,Checkout,36,0
16,31,Thank You,165,1
17,32,Checkout,262,0
17,32,Thank You,276,1
18,33,Homepage,100,0
18,33,Thank You,40,1
19,34,Product Page,66,0
19,34,Checkout,296,0
19,35,Homepage,46,0
19,35,Cart,219,0
19,35,Thank You,294,1
19,36,Product Page,127,0
19,36,Cart,140,0
19,36,Checkout,207,0
19,36,Thank You,72,1
20,37,Homepage,239,0
20,37,Cart,293,0
20,37,Checkout,56,0
20,37,Thank You,42,1
20,38,Homepage,183,0
20,38,Cart,40,0
20,38,Thank You,130,1
20,39,Product Page,275,0
20,39,Cart,9,0
20,39,Checkout,288,0
20,39,Thank You,158,1
21,40,Product Page,64,0
21,40,Cart,59,0
21,41,Cart,112,0
21,41,Checkout,180,0
21,41,Thank You,109,1
21,42,Homepage,52,0
21,42,Product Page,221,0
21,42,Checkout,146,0
21,42,Thank You,27,1
22,43,Homepage,287,0
22,43,Product Page,223,0
22,43,Cart,292,0
22,43,Thank You,9,1
23,44,Homepage,194,0
23,44,Product Page,287,0
24,45,Homepage,188,0
